# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 31 13:32:08 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassjstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_name,pl_discmethod,pl_bmassj,pl_radj,st_dist,rowupdate,pl_facility
1,11 Com b,Radial Velocity,19.40000,,93.37,2014-05-14,Xinglong Station
2,11 UMi b,Radial Velocity,14.74000,,125.72,2018-09-06,Thueringer Landessternwarte Tautenburg
3,14 And b,Radial Velocity,4.80000,,75.59,2014-05-14,Okayama Astrophysical Observatory
4,14 Her b,Radial Velocity,4.66000,,17.94,2018-09-06,W. M. Keck Observatory
5,16 Cyg B b,Radial Velocity,1.78000,,21.15,2018-09-06,Multiple Observatories
6,18 Del b,Radial Velocity,10.30000,,76.38,2014-05-14,Okayama Astrophysical Observatory
7,1RXS J160929.1-210524 b,Imaging,8.00000,,145.00,2015-04-01,Gemini Observatory
8,24 Boo b,Radial Velocity,0.91000,,96.25,2018-04-26,Okayama Astrophysical Observatory
9,24 Sex b,Radial Velocity,1.99000,,72.21,2014-05-14,Lick Observatory
10,24 Sex c,Radial Velocity,0.86000,,72.21,2014-05-14,Lick Observatory
11,2MASS J01225093-2439505 b,Imaging,24.50000,,36.00,2014-05-14,W. M. Keck Observatory
12,2MASS J02192210-3925225 b,Imaging,13.90000,1.440,39.40,2015-05-14,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513 b,Imaging,7.50000,,140.00,2014-05-14,Hubble Space Telescope
14,2MASS J12073346-3932539 b,Imaging,4.00000,,64.42,2014-05-14,Paranal Observatory
15,2MASS J19383260+4603591 b,Eclipse Timing Variations,1.90000,,400.77,2015-06-04,Kepler
16,2MASS J21402931+1625183 A b,Imaging,20.95000,0.920,25.00,2014-05-14,W. M. Keck Observatory
17,2MASS J22362452+4751425 b,Imaging,12.50000,,74.00,2016-11-10,W. M. Keck Observatory
18,30 Ari B b,Radial Velocity,13.82000,,44.71,2018-09-06,Thueringer Landessternwarte Tautenburg
19,4 UMa b,Radial Velocity,7.10000,,73.58,2014-05-14,Thueringer Landessternwarte Tautenburg
20,42 Dra b,Radial Velocity,3.88000,,90.86,2014-05-14,Thueringer Landessternwarte Tautenburg
21,47 UMa b,Radial Velocity,2.53000,,13.80,2014-05-14,Lick Observatory
22,47 UMa c,Radial Velocity,0.54000,,13.80,2014-05-14,Lick Observatory
23,47 UMa d,Radial Velocity,1.64000,,13.80,2014-05-14,Lick Observatory
25,51 Peg b,Radial Velocity,0.47200,,15.47,2014-05-14,Haute-Provence Observatory
26,55 Cnc b,Radial Velocity,0.83060,,12.59,2014-10-29,Lick Observatory
27,55 Cnc c,Radial Velocity,0.17140,,12.59,2014-10-29,McDonald Observatory
28,55 Cnc d,Radial Velocity,3.87800,,12.59,2014-10-29,Lick Observatory
29,55 Cnc e,Radial Velocity,0.02542,0.170,12.59,2019-01-31,McDonald Observatory
30,55 Cnc f,Radial Velocity,0.14100,,12.59,2014-10-29,Multiple Observatories
31,6 Lyn b,Radial Velocity,2.01000,,54.74,2018-12-06,Okayama Astrophysical Observatory
32,61 Vir b,Radial Velocity,0.01600,,8.51,2014-05-14,Multiple Observatories
33,61 Vir c,Radial Velocity,0.05700,,8.51,2014-05-14,Multiple Observatories
34,61 Vir d,Radial Velocity,0.07200,,8.51,2014-05-14,Multiple Observatories
35,7 CMa b,Radial Velocity,1.85000,,19.82,2019-10-24,Anglo-Australian Telescope
36,7 CMa c,Radial Velocity,0.87000,,19.82,2019-10-24,Multiple Observatories
37,70 Vir b,Radial Velocity,7.41600,,17.91,2018-12-06,Lick Observatory
38,75 Cet b,Radial Velocity,3.00000,,83.15,2015-09-03,Okayama Astrophysical Observatory
39,8 UMi b,Radial Velocity,1.31000,,163.32,2018-09-06,Bohyunsan Optical Astronomical Observatory
40,81 Cet b,Radial Velocity,5.30000,,101.53,2014-05-14,Okayama Astrophysical Observatory
41,91 Aqr b,Radial Velocity,3.20000,,44.08,2014-05-14,Lick Observatory
42,AB Pic b,Imaging,13.50000,,50.12,2014-05-14,Paranal Observatory
43,BD+03 2562 b,Radial Velocity,6.40000,,2618.00,2017-06-15,Multiple Observatories
44,BD+14 4559 b,Radial Velocity,1.04000,,49.42,2018-09-06,McDonald Observatory
45,BD+15 2375 b,Radial Velocity,1.06100,,774.00,2016-02-04,Roque de los Muchachos Observatory
46,BD+15 2940 b,Radial Velocity,1.11000,,431.61,2014-05-14,McDonald Observatory
47,BD+20 2457 b,Radial Velocity,55.59000,,1670.85,2018-09-06,McDonald Observatory
48,BD+20 2457 c,Radial Velocity,12.47000,,1670.85,2014-05-14,McDonald Observatory
49,BD+20 274 b,Radial Velocity,4.20000,,1383.85,2015-09-18,McDonald Observatory
